Port Flow Statistics,Port 3,
link,link up,
lineSpeed,800000,
transmitDuration,00:00:30.267049943,
framesSent,20450709364,
framesReceived,20450709364,
fragments,0,
undersize,0,
oversizeAndCrcErrors,0,
vlanTaggedFramesRx,0,
flowControlFrames,0,
bitsSent,20941526388736,
bitsReceived,20941526388736,
pcsSyncErrorsReceived,0,
pcsRemoteFaultsReceived,0,
pcsLocalFaultsReceived,0,
fecTotalBitErrors,20,
fecMaxSymbolErrors,1,
fecCorrectedCodewords,20,
fecTotalCodewords,5157026352,
fecFrameLossRatio,0.000000e+00,
preFecBer,7.129051e-13,
fecMaxSymbolErrorsBin0,5157026332,
fecMaxSymbolErrorsBin1,20,
fecMaxSymbolErrorsBin2,0,
fecMaxSymbolErrorsBin3,0,
fecMaxSymbolErrorsBin4,0,
fecMaxSymbolErrorsBin5,0,
fecMaxSymbolErrorsBin6,0,
fecMaxSymbolErrorsBin7,0,
fecMaxSymbolErrorsBin8,0,
fecMaxSymbolErrorsBin9,0,
fecMaxSymbolErrorsBin10,0,
fecMaxSymbolErrorsBin11,0,
fecMaxSymbolErrorsBin12,0,
fecMaxSymbolErrorsBin13,0,
fecMaxSymbolErrorsBin14,0,
fecMaxSymbolErrorsBin15,0,
fecUncorrectableCodewords,0,
fecTranscodingUncorrectableErrors,0,
l1BitsSent,24213639886976,
l1BitsReceived,24213639886976,
transceiverTemp,51,
encoding,PAM4 106G,
fecStatus,KP4-FEC,
transceiverVoltage,3.2292999999999998,
minLatency,0,
averageLatency,0,
maxLatency,0,
Loss_Frames,0,
Loss%,0.0,
