Page 0x27 Registers Name,Port 61,Port 62,Port 63,Port 64,Port 65,Port 66,Port 67,Port 68,
Application Code Entry TL ,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000,
Application Code Entry TL ,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000,
Application Code Entry TL ,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000,
Application Code Entry TL ,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000,
Application Code Entry TL ,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000,
Application Code Entry TL ,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000,
Application Code Entry TL ,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000,
Application Code Entry TL ,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000,
Application Code Entry TL ,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000,
Application Code Entry TL ,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000,
Application Code Entry TL ,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000,
Application Code Entry TL ,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000,
Application Code Entry TL ,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000,
Application Code Entry TL ,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000,
Application Code Entry TL ,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000,
Application Code Entry TL ,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000,
Application Code Entry TL ,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000,
Application Code Entry TL ,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000,
Application Code Entry TL ,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000,
Application Code Entry TL ,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000,
Application Code Entry TL ,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000,
Application Code Entry TL ,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000,
Application Code Entry TL ,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000,
Application Code Entry TL ,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000,
Application Code Entry TL ,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000,
Application Code Entry TL ,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000,
Application Code Entry TL ,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000,
Application Code Entry TL ,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000,
Application Code Entry TL ,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000,
Application Code Entry TL ,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000,
Application Code Entry TL ,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000,
Application Code Entry TL ,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000,
Application Code Entry TL ,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000,
Application Code Entry TL ,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000,
Application Code Entry TL ,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000,
Application Code Entry TL ,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000,
Application Code Entry TL ,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000,
Application Code Entry TL ,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000,
Application Code Entry TL ,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000,
Application Code Entry TL ,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000,
Application Code Entry TL ,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000,
Application Code Entry TL ,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000,
Application Code Entry TL ,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000,
Application Code Entry TL ,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000,
Application Code Entry TL ,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000,
Application Code Entry TL ,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000,
Application Code Entry TL ,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000,
Application Code Entry TL ,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000,
Application Code Entry TL ,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000,
Application Code Entry TL ,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000,
Application Code Entry TL ,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000,
Application Code Entry TL ,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000,
Application Code Entry TL ,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000,
Application Code Entry TL ,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000,
Application Code Entry TL ,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000,
Application Code Entry TL ,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000,
Application Code Entry TL ,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000,
Application Code Entry TL ,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000,
Application Code Entry TL ,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000,
Application Code Entry TL ,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000,
Application Code Entry TL ,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000,
Application Code Entry TL ,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000,
Application Code Entry TL ,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000,
Application Code Entry TL ,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000,
Application Code Entry TL ,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000,
Application Code Entry TL ,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000,
Application Code Entry TL ,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000,
Application Code Entry TL ,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000,
Application Code Entry TL ,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000,
Application Code Entry TL ,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000,
Application Code Entry TL ,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000,
Application Code Entry TL ,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000,
Application Code Entry TL ,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000,
Application Code Entry TL ,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000,
Application Code Entry TL ,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000,
Application Code Entry TL ,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000,
Application Code Entry TL ,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000,
