Page 0x11 Registers Name,Port 1,
Data Path State Lane 1/Lane 2,0x0044,
Data Path State Lane 3/Lane 4,0x0044,
Data Path State Lane 5/Lane 6,0x0044,
Data Path State Lane 7/Lane 8,0x0044,
Rx Output Status Lane 1-8,0x00ff,
Tx Output Status Lane 1-8,0x00ff,
Data Path State Changed Flag,0x0000,
Tx Fault Flag,0x0000,
Tx LOS Flag,0x0000,
Tx CDR LOL Flag,0x0000,
Tx Adaptive Input Eq Fault Flag,0x0000,
Tx Power High Alarm,0x0000,
Tx Power Low Alarm,0x0000,
Tx Power High Warning,0x0000,
Tx Power Low Warning,0x0000,
Tx Bias High Alarm,0x0000,
Tx Bias Low Alarm,0x0000,
Tx Bias High Warning,0x0000,
Tx Bias Low Warning,0x0000,
Rx LOS Flag,0x0000,
Rx CDR LOL Flag,0x0000,
Rx Power High Alarm,0x0000,
Rx Power Low Alarm,0x0000,
Rx Power High Warning,0x0000,
Rx Power Low Warning,0x0000,
Rx Output Status Changed Flag,0x0000,
Tx1 Power MSB,0x0056,
Tx1 Power LSB,0x0028,
Tx2 Power MSB,0x004d,
Tx2 Power LSB,0x0072,
Tx3 Power MSB,0x0037,
Tx3 Power LSB,0x00ab,
Tx4 Power MSB,0x003c,
Tx4 Power LSB,0x0001,
Tx5 Power MSB,0x0052,
Tx5 Power LSB,0x00ad,
Tx6 Power MSB,0x004e,
Tx6 Power LSB,0x00be,
Tx7 Power MSB,0x0053,
Tx7 Power LSB,0x0054,
Tx8 Power MSB,0x004d,
Tx8 Power LSB,0x00dc,
Tx1 Bias MSB,0x0076,
Tx1 Bias LSB,0x0008,
Tx2 Bias MSB,0x0076,
Tx2 Bias LSB,0x0036,
Tx3 Bias MSB,0x006d,
Tx3 Bias LSB,0x00b8,
Tx4 Bias MSB,0x006d,
Tx4 Bias LSB,0x00e6,
Tx5 Bias MSB,0x0070,
Tx5 Bias LSB,0x0083,
Tx6 Bias MSB,0x0070,
Tx6 Bias LSB,0x0027,
Tx7 Bias MSB,0x006e,
Tx7 Bias LSB,0x0050,
Tx8 Bias MSB,0x006e,
Tx8 Bias LSB,0x005f,
Rx1 Power MSB,0x0062,
Rx1 Power LSB,0x009a,
Rx2 Power MSB,0x0059,
Rx2 Power LSB,0x0031,
Rx3 Power MSB,0x0047,
Rx3 Power LSB,0x00b4,
Rx4 Power MSB,0x0054,
Rx4 Power LSB,0x0077,
Rx5 Power MSB,0x0063,
Rx5 Power LSB,0x0058,
Rx6 Power MSB,0x005c,
Rx6 Power LSB,0x00d3,
Rx7 Power MSB,0x006b,
Rx7 Power LSB,0x0011,
Rx8 Power MSB,0x0066,
Rx8 Power LSB,0x0008,
Config Command Status Lane 1/Lane 2,0x0011,
Config Command Status Lane 3/Lane 4 ,0x0011,
Config Command Status Lane 5/Lane 6 ,0x0011,
Config Command Status Lane 7/Lane 8 ,0x0011,
Active Control Set Lane 1,0x0011,
Active Control Set Lane 2,0x0013,
Active Control Set Lane 3,0x0015,
Active Control Set Lane 4,0x0017,
Active Control Set Lane 5,0x0019,
Active Control Set Lane 6,0x001b,
Active Control Set Lane 7,0x001d,
Active Control Set Lane 8,0x001f,
Active Set Tx Adaptive Input Eq Enable,0x00ff,
Active Set Tx Adaptive Input Eq Recall Tx1-Tx4,0x0000,
Active Set Tx Adaptive Input Eq Recall Tx5-Tx8,0x0000,
Manual Fixed Tx Input EQ Control Tx1/Tx2,0x0000,
Manual Fixed Tx Input EQ Control Tx3/Tx4,0x0000,
Manual Fixed Tx Input EQ Control Tx5/Tx6,0x0000,
Manual Fixed Tx Input EQ Control Tx7/Tx8,0x0000,
Active Set Tx CDR Control,0x00ff,
Active Set Rx CDR control,0x00ff,
Active Set Rx1/Rx2 Output Eq Control Pre-cursor,0x0066,
Active Set Rx3/Rx4 Output Eq Control Pre-cursor,0x0066,
Active Set Rx5/Rx6 Output Eq Control Pre-cursor,0x0066,
Active Set Rx7/Rx8 Output Eq Control Pre-cursor,0x0066,
Active Set Rx1/Rx2 Output Eq Control Post-cursor,0x0000,
Active Set Rx3/Rx4 Output Eq Control Post-cursor,0x0000,
Active Set Rx5/Rx6 Output Eq Control Post-cursor,0x0000,
Active Set Rx7/Rx8 Output Eq Control Post-cursor,0x0000,
Active Set Rx1/Rx2 Output Amplitude Control,0x0011,
Active Set Rx3/Rx4 Output Amplitude Control,0x0011,
Active Set Rx5/Rx6 Output Amplitude Control,0x0011,
Active Set Rx7/Rx8 Output Amplitude Control,0x0011,
Data Path Init Pending Lane 1-8,0x0000,
Reserved,0x0000,
Reserved,0x0000,
Reserved,0x0000,
Reserved,0x0000,
Module Tx Media Lane 1 Mapping,0x0011,
Module Tx Media Lane 2 Mapping,0x0012,
Module Tx Media Lane 3 Mapping,0x0023,
Module Tx Media Lane 4 Mapping,0x0024,
Module Tx Media Lane 5 Mapping,0x0035,
Module Tx Media Lane 6 Mapping,0x0036,
Module Tx Media Lane 7 Mapping,0x0047,
Module Tx Media Lane 8 Mapping,0x0048,
Module Rx Media Lane 1 Mapping,0x0011,
Module Rx Media Lane 2 Mapping,0x0022,
Module Rx Media Lane 3 Mapping,0x0033,
Module Rx Media Lane 4 Mapping,0x0044,
Module Rx Media Lane 5 Mapping,0x0055,
Module Rx Media Lane 6 Mapping,0x0066,
Module Rx Media Lane 7 Mapping,0x0077,
Module Rx Media Lane 8 Mapping,0x0088,
