Page 0x11 Registers Name,Port 3,
Data Path State Lane 1/Lane 2,0x0044,
Data Path State Lane 3/Lane 4,0x0044,
Data Path State Lane 5/Lane 6,0x0044,
Data Path State Lane 7/Lane 8,0x0044,
Rx Output Status Lane 1-8,0x00ff,
Tx Output Status Lane 1-8,0x00ff,
Data Path State Changed Flag,0x0000,
Tx Fault Flag,0x0000,
Tx LOS Flag,0x0000,
Tx CDR LOL Flag,0x0000,
Tx Adaptive Input Eq Fault Flag,0x0000,
Tx Power High Alarm,0x0000,
Tx Power Low Alarm,0x0000,
Tx Power High Warning,0x0000,
Tx Power Low Warning,0x0000,
Tx Bias High Alarm,0x0000,
Tx Bias Low Alarm,0x0000,
Tx Bias High Warning,0x0000,
Tx Bias Low Warning,0x0000,
Rx LOS Flag,0x0000,
Rx CDR LOL Flag,0x0000,
Rx Power High Alarm,0x0000,
Rx Power Low Alarm,0x0000,
Rx Power High Warning,0x0000,
Rx Power Low Warning,0x0000,
Rx Output Status Changed Flag,0x0000,
Tx1 Power MSB,0x003b,
Tx1 Power LSB,0x004f,
Tx2 Power MSB,0x0041,
Tx2 Power LSB,0x007d,
Tx3 Power MSB,0x003f,
Tx3 Power LSB,0x00a2,
Tx4 Power MSB,0x003d,
Tx4 Power LSB,0x00ff,
Tx5 Power MSB,0x0041,
Tx5 Power LSB,0x00af,
Tx6 Power MSB,0x003d,
Tx6 Power LSB,0x0050,
Tx7 Power MSB,0x0043,
Tx7 Power LSB,0x0071,
Tx8 Power MSB,0x0045,
Tx8 Power LSB,0x0072,
Tx1 Bias MSB,0x0072,
Tx1 Bias LSB,0x00fe,
Tx2 Bias MSB,0x0073,
Tx2 Bias LSB,0x002c,
Tx3 Bias MSB,0x0069,
Tx3 Bias LSB,0x003a,
Tx4 Bias MSB,0x0069,
Tx4 Bias LSB,0x002b,
Tx5 Bias MSB,0x0068,
Tx5 Bias LSB,0x0009,
Tx6 Bias MSB,0x0068,
Tx6 Bias LSB,0x0028,
Tx7 Bias MSB,0x0069,
Tx7 Bias LSB,0x003a,
Tx8 Bias MSB,0x0069,
Tx8 Bias LSB,0x0086,
Rx1 Power MSB,0x003d,
Rx1 Power LSB,0x00bf,
Rx2 Power MSB,0x0036,
Rx2 Power LSB,0x003f,
Rx3 Power MSB,0x0024,
Rx3 Power LSB,0x00ff,
Rx4 Power MSB,0x0038,
Rx4 Power LSB,0x00d0,
Rx5 Power MSB,0x0041,
Rx5 Power LSB,0x003f,
Rx6 Power MSB,0x003e,
Rx6 Power LSB,0x0096,
Rx7 Power MSB,0x003e,
Rx7 Power LSB,0x003b,
Rx8 Power MSB,0x003d,
Rx8 Power LSB,0x004c,
Config Command Status Lane 1/Lane 2,0x0000,
Config Command Status Lane 3/Lane 4 ,0x0000,
Config Command Status Lane 5/Lane 6 ,0x0000,
Config Command Status Lane 7/Lane 8 ,0x0000,
Active Control Set Lane 1,0x0010,
Active Control Set Lane 2,0x0012,
Active Control Set Lane 3,0x0014,
Active Control Set Lane 4,0x0016,
Active Control Set Lane 5,0x0018,
Active Control Set Lane 6,0x001a,
Active Control Set Lane 7,0x001c,
Active Control Set Lane 8,0x001e,
Active Set Tx Adaptive Input Eq Enable,0x00ff,
Active Set Tx Adaptive Input Eq Recall Tx1-Tx4,0x0000,
Active Set Tx Adaptive Input Eq Recall Tx5-Tx8,0x0000,
Manual Fixed Tx Input EQ Control Tx1/Tx2,0x0000,
Manual Fixed Tx Input EQ Control Tx3/Tx4,0x0000,
Manual Fixed Tx Input EQ Control Tx5/Tx6,0x0000,
Manual Fixed Tx Input EQ Control Tx7/Tx8,0x0000,
Active Set Tx CDR Control,0x00ff,
Active Set Rx CDR control,0x00ff,
Active Set Rx1/Rx2 Output Eq Control Pre-cursor,0x0033,
Active Set Rx3/Rx4 Output Eq Control Pre-cursor,0x0033,
Active Set Rx5/Rx6 Output Eq Control Pre-cursor,0x0033,
Active Set Rx7/Rx8 Output Eq Control Pre-cursor,0x0033,
Active Set Rx1/Rx2 Output Eq Control Post-cursor,0x0000,
Active Set Rx3/Rx4 Output Eq Control Post-cursor,0x0000,
Active Set Rx5/Rx6 Output Eq Control Post-cursor,0x0000,
Active Set Rx7/Rx8 Output Eq Control Post-cursor,0x0000,
Active Set Rx1/Rx2 Output Amplitude Control,0x0022,
Active Set Rx3/Rx4 Output Amplitude Control,0x0022,
Active Set Rx5/Rx6 Output Amplitude Control,0x0022,
Active Set Rx7/Rx8 Output Amplitude Control,0x0022,
Data Path Init Pending Lane 1-8,0x0000,
Reserved,0x0000,
Reserved,0x0000,
Reserved,0x0000,
Reserved,0x0000,
Module Tx Media Lane 1 Mapping,0x0011,
Module Tx Media Lane 2 Mapping,0x0012,
Module Tx Media Lane 3 Mapping,0x0023,
Module Tx Media Lane 4 Mapping,0x0024,
Module Tx Media Lane 5 Mapping,0x0035,
Module Tx Media Lane 6 Mapping,0x0036,
Module Tx Media Lane 7 Mapping,0x0047,
Module Tx Media Lane 8 Mapping,0x0048,
Module Rx Media Lane 1 Mapping,0x0011,
Module Rx Media Lane 2 Mapping,0x0022,
Module Rx Media Lane 3 Mapping,0x0033,
Module Rx Media Lane 4 Mapping,0x0044,
Module Rx Media Lane 5 Mapping,0x0055,
Module Rx Media Lane 6 Mapping,0x0066,
Module Rx Media Lane 7 Mapping,0x0077,
Module Rx Media Lane 8 Mapping,0x0088,
